item_id,item_name,category,supplier,price_usd,weight_kg,color,warranty_years,release_year,rating
,Energy,Home & Kitchen,"Garrett, Warren and Malone",791.85,8.706,Yellow,2,2003,3.6
1001,The,Home & Kitchen,Williams-Burns,818.79,9.406,Red,1,2022,4.9
1002,Government,Stationery,Robinson-Morales,189.54,4.699,Yellow,5,2021,1.4
1003,Group,Clothing,"Yates, Lee and Pena",332.71,8.615,Black,0,2003,4.7
1004,Order,Stationery,"Garcia, Dillon and Williams",927.64,1.202,White,3,2003,3.8
1005,Hotel,Stationery,Flores-King,,6.631,Black,2,2015,1.8
1006,Threat,Books,,493.32,1.999,Red,2,2003,1.4
1007,Amount,Clothing,Williams-Burns,819.87,3.426,Black,0,2009,2.2
1008,Billion,Electronics,Saunders-Cortez,,1.454,White,1,2011,2.1
1009,Old,Clothing,Anderson PLC,178.78,1.449,Blue,3,2002,1.0
1010,Gun,Toys,Vasquez-Huynh,821.36,5.833,,2,2002,4.8
1011,Need,Toys,Allen Inc,906.22,6.231,Black,5,2005,2.9
,,Electronics,Vasquez-Huynh,421.57,8.651,Blue,5,2004,
1013,Accept,Clothing,Swanson-Wilson,815.92,4.768,Green,2,2003,1.0
1014,Follow,Toys,"Yates, Lee and Pena",832.63,2.092,Red,5,2005,3.0
1015,Hotel,Toys,Holt-Robertson,543.96,0.356,Red,0,2008,2.4
1016,Measure,Toys,"Phillips, Williams and Montgomery",729.25,8.856,Blue,2,2005,4.9
1017,American,Books,Williams-Barr,229.36,1.769,Black,5,2019,4.6
1018,Tell,Books,,853.01,2.153,Black,5,2003,2.9
1019,Again,Toys,Huang Group,172.69,4.759,Yellow,3,2003,1.9
1020,Sign,Clothing,Alexander-Williamson,504.24,7.104,Red,3,2018,3.5
1021,Boy,Stationery,Alvarez PLC,,2.156,Green,5,2007,3.7
1022,Throw,Toys,Johnson-Macias,421.28,7.98,Blue,3,2010,2.1
1023,Get,Home & Kitchen,Wiley PLC,975.06,8.912,Blue,,2001,3.1
1024,Live,Toys,"Hernandez, Reyes and Stewart",364.63,6.791,Yellow,1,2012,3.0
1025,Wide,Books,Johnson-Macias,123.76,2.6,White,5,2009,4.0
1026,Beat,Home & Kitchen,Garcia Inc,287.87,4.158,Yellow,0,2014,2.1
1027,Or,Stationery,"Richards, Gutierrez and Turner",7.42,8.919,Black,0,2001,4.1
1028,Ahead,Stationery,Bowman-King,922.6,8.416,White,0,2009,1.1
1029,Notice,Toys,Nguyen and Sons,911.67,2.028,Blue,5,2020,4.5
1030,Nor,Books,Vasquez-Huynh,991.86,9.166,White,3,2017,3.9
1031,Environment,Clothing,Nguyen and Sons,335.41,9.709,Red,5,2022,2.5
1032,Model,Electronics,Lewis LLC,994.93,0.952,Red,2,2023,2.0
1033,Sport,Home & Kitchen,,331.66,4.32,,5,2013,3.3
,Course,Home & Kitchen,"Johnson, Cooper and Williams",782.46,5.51,Yellow,2,2015,3.2
1035,Cover,Stationery,Alvarez PLC,476.21,3.379,Yellow,0,2007,2.5
1036,Card,Stationery,Mccarthy-Shepard,293.31,6.849,Yellow,0,2013,2.3
1037,Me,,Ford-Griffith,520.01,2.249,Black,2,2019,1.0
1038,Though,Toys,Allen Inc,478.3,5.394,Green,2,2023,4.5
1039,,Books,Morales LLC,906.37,1.249,Blue,3,2019,2.7
1040,Fast,Clothing,Garcia Inc,166.77,0.924,White,2,2023,1.5
1041,Buy,Clothing,"Richardson, Burton and Lee",325.0,0.297,Yellow,0,2010,2.1
1042,White,Books,Nguyen and Sons,375.32,5.02,White,1,2007,3.7
1043,Film,Toys,Wilson LLC,,5.658,Green,1,2007,3.4
1044,Fly,Clothing,Flores-King,325.85,0.71,Black,5,2022,1.4
1045,Itself,Clothing,Garcia Inc,502.09,5.491,Yellow,1,2001,1.8
1046,Item,Stationery,Martin-Morgan,595.53,0.952,Black,2,2012,
1047,Piece,Clothing,Burnett-Drake,534.17,0.472,Red,0,2012,3.9
1048,,Home & Kitchen,"Richards, Gutierrez and Turner",737.01,8.334,Red,5,2020,4.3
1049,New,Toys,Saunders-Cortez,262.63,,Yellow,2,2021,4.1
1050,Stop,Clothing,Burnett-Drake,888.73,2.314,White,2,,1.2
1051,Class,Books,"Garcia, Dillon and Williams",937.36,,Blue,2,2000,3.4
1052,Money,,Johnson-Macias,573.55,0.457,,5,2016,4.8
1053,Maybe,,Haley-Norton,354.5,3.827,Black,1,2008,4.6
1054,Send,Toys,Navarro-Mitchell,281.31,8.621,White,2,2016,3.3
1055,Better,Stationery,"Richardson, Burton and Lee",515.69,2.139,,1,2021,1.6
1056,,Electronics,Anderson-Wright,264.05,3.215,Black,1,2023,3.3
1057,Set,Books,Anderson Ltd,348.25,7.425,,5,2004,2.8
1058,Involve,,Martinez-Lee,604.76,7.826,Green,0,2005,3.3
1059,We,Electronics,Martin-Morgan,204.62,4.181,Black,0,2022,4.8
1060,,Stationery,Burnett-Drake,977.32,9.596,White,,2018,4.0
1061,Environment,Home & Kitchen,Flores-King,544.99,6.163,Blue,0,2006,4.9
,Wide,Home & Kitchen,Burnett-Drake,746.66,9.301,White,5,,4.4
1063,,Home & Kitchen,"Johnson, Cooper and Williams",861.76,8.471,Red,5,2001,
1064,Now,,Lewis LLC,101.02,6.023,Black,0,2013,3.6
1065,Simply,Electronics,"Hernandez, Reyes and Stewart",308.91,3.169,Yellow,5,,1.1
1066,Mrs,Clothing,"Underwood, Nguyen and Pena",515.09,3.757,Black,0,2002,2.2
1067,Join,Toys,Saunders-Cortez,822.38,9.374,Red,0,2022,1.6
1068,Past,Stationery,"Yates, Lee and Pena",961.59,1.414,Blue,5,2018,1.8
1069,Country,Stationery,Haley-Norton,807.08,8.737,Yellow,1,2003,4.4
1070,Travel,Stationery,Allen Inc,94.37,6.904,Red,2,2018,4.8
1071,Civil,Books,"Newton, Jimenez and Howard",141.55,2.863,Red,1,2012,3.1
1072,From,,"Cannon, Sanford and Williams",15.68,8.587,Red,1,2023,
1073,List,Books,Anderson-Wright,45.93,3.008,Yellow,2,2003,2.9
1074,Myself,Books,Holt-Robertson,678.11,1.46,Green,3,2016,3.3
1075,Exactly,Books,Johnson-Macias,320.81,0.812,Red,5,2022,
1076,Enter,Home & Kitchen,Anderson Ltd,465.05,2.244,Blue,2,2023,4.6
1077,Skin,Books,Williams-Barr,567.16,8.247,White,2,2016,3.4
1078,Relationship,Electronics,"Hernandez, Reyes and Stewart",916.29,,Yellow,0,2019,3.4
1079,Management,Clothing,Alexander-Williamson,699.93,4.816,Blue,1,2023,1.4
1080,,Stationery,Johnson-Macias,209.97,8.564,White,0,2001,4.4
1081,Surface,Clothing,Swanson-Wilson,538.0,0.539,White,5,2013,1.1
1082,On,Books,"Underwood, Nguyen and Pena",229.37,3.929,Green,2,2020,2.9
1083,Organization,Electronics,Swanson-Wilson,479.86,8.901,Black,5,2023,2.6
1084,Speak,Toys,"Johnson, Fuller and Curry",674.91,5.454,Black,3,2023,4.2
1085,Measure,,Ramos-Young,679.42,,Blue,0,2018,1.1
1086,Local,Books,Garcia Inc,159.8,7.274,Green,2,2023,1.2
1087,Detail,Books,Allen Inc,948.69,8.057,White,2,2009,2.9
